pack,file,slot,theme,width,height,orig
theme-ambient,packs/theme-ambient/notebook-ambient-01.jpg,ambient,notebook,1376,768,theme-ambient/notebook-ambient-01.png
theme-ambient,packs/theme-ambient/notebook-texture-01.jpg,texture,notebook,1376,768,theme-ambient/notebook-texture-01.png
theme-ambient,packs/theme-ambient/ocean-ambient-01.jpg,ambient,ocean,1376,768,theme-ambient/ocean-ambient-01.png
theme-ambient,packs/theme-ambient/ocean-texture-01.jpg,texture,ocean,1376,768,theme-ambient/ocean-texture-01.png
theme-ambient,packs/theme-ambient/soft-ambient-01.jpg,ambient,soft,1376,768,theme-ambient/soft-ambient-01.png
theme-ambient,packs/theme-ambient/soft-pop-ambient-01.jpg,ambient,soft-pop,1376,768,theme-ambient/soft-pop-ambient-01.png
theme-ambient,packs/theme-ambient/soft-pop-texture-01.jpg,texture,soft-pop,1376,768,theme-ambient/soft-pop-texture-01.png
theme-ambient,packs/theme-ambient/soft-texture-01.jpg,texture,soft,1376,768,theme-ambient/soft-texture-01.png
theme-ambient,packs/theme-ambient/terminal-ambient-01.jpg,ambient,terminal,1376,768,theme-ambient/terminal-ambient-01.png
theme-ambient,packs/theme-ambient/terminal-texture-01.jpg,texture,terminal,1376,768,theme-ambient/terminal-texture-01.png
alpine-modern,packs/alpine-modern/ambient-01.jpg,ambient,,1344,768,alpine-modern/ambient-01.jpg
alpine-modern,packs/alpine-modern/ambient-02.jpg,ambient,,2544,1456,alpine-modern/ambient-02.jpg
alpine-modern,packs/alpine-modern/card-01.jpg,card,,1920,1920,alpine-modern/card-01.jpg
alpine-modern,packs/alpine-modern/card-02.jpg,card,,2336,1600,alpine-modern/card-02.jpg
alpine-modern,packs/alpine-modern/framed-01.jpg,framed,,2224,1664,alpine-modern/framed-01.jpg
alpine-modern,packs/alpine-modern/framed-02.jpg,framed,,1280,960,alpine-modern/framed-02.jpg
alpine-modern,packs/alpine-modern/hero-01.jpg,hero,,2544,1456,alpine-modern/hero-01.jpg
alpine-modern,packs/alpine-modern/hero-02.jpg,hero,,2544,1456,alpine-modern/hero-02.jpg
alpine-modern,packs/alpine-modern/hero-03.jpg,hero,,2544,1456,alpine-modern/hero-03.jpg
alpine-modern,packs/alpine-modern/split-01.jpg,split,,1696,2192,alpine-modern/split-01.jpg
alpine-modern,packs/alpine-modern/split-02.jpg,split,,1696,2192,alpine-modern/split-02.jpg
ember,packs/ember/ambient-01.jpg,ambient,,1376,768,ember-retry/ambient-01.png
ember,packs/ember/ambient-02.jpg,ambient,,1376,768,ember-retry/ambient-02.png
ember,packs/ember/card-01.jpg,card,,1264,848,ember-retry/card-01.png
ember,packs/ember/card-02.jpg,card,,1024,1024,ember-retry/card-02.png
ember,packs/ember/framed-02.jpg,framed,,1200,896,ember-retry/framed-01.png
ember,packs/ember/hero-03.jpg,hero,,1376,768,ember-retry/hero-03.png
ember,packs/ember/split-01.jpg,split,,928,1152,ember-retry/split-01.png
ember,packs/ember/split-02.jpg,split,,928,1152,ember-retry/split-02.png
